Symbol,Name,Description,Price,Change %,Exchange,Launch Date,Selection Criteria,Strategy,Leverage Ratio,Update Mode
CBOE:XNDX,XNDX,Tradr 2X Long XNDU Daily ETF,4.42,3.5128805620608987,CBOE,2026-05-05,36,33,2x,delayed_streaming_900
CBOE:AXTU,AXTU,T-REX 2X Long AXTI Daily Target ETF,36.81,9.89699955217198,CBOE,2026-05-04,36,33,2x,delayed_streaming_900
CBOE:AMPU,AMPU,Defiance Daily Target 2X Long AMPX ETF,2.06,10.160427807486627,CBOE,2026-05-04,36,33,2x,delayed_streaming_900
CBOE:AMKL,AMKL,Defiance Daily Target 2X Long AMKR ETF,5.74,8.712121212121211,CBOE,2026-05-03,36,33,2x,delayed_streaming_900
CBOE:XOVL,XOVL,Defiance Daily Target 2X Long XOVR ETF,20.895,2.634758775161359,CBOE,2026-05-03,36,33,2x,delayed_streaming_900
NASDAQ:AMA,AMA,Defiance Daily Target 2X Long AMAT ETF,17.09,1.0047281323876958,NASDAQ,2026-04-30,36,33,2x,delayed_streaming_900
CBOE:POEL,POEL,Defiance Daily Target 2X Long POET ETF,7.95,2.1850899742930583,CBOE,2026-04-30,36,33,2x,delayed_streaming_900
CBOE:AXTX,AXTX,Tradr 2X Long AXTI Daily ETF,6.8,9.500805152979064,CBOE,2026-04-23,36,33,2x,delayed_streaming_900
CBOE:CPNX,CPNX,Tradr 2X Long CPNG Daily ETF,10.56,1.0487636836867522,CBOE,2026-04-23,36,33,2x,delayed_streaming_900
CBOE:MPWX,MPWX,Tradr 2X Long MPWR Daily ETF,11.1,3.636618271789365,CBOE,2026-04-23,36,33,2x,delayed_streaming_900
CBOE:STXX,STXX,Tradr 2X Long STX Daily ETF,35.1116,4.748210023866347,CBOE,2026-04-23,36,33,2x,delayed_streaming_900
CBOE:SNDQ,SNDQ,Tradr 2X Short SNDK Daily ETF,13.325,-11.871693121693122,CBOE,2026-04-21,36,33,2x,delayed_streaming_900
CBOE:LITZ,LITZ,Tradr 2X Short LITE Daily ETF,7.12,4.093567251461992,CBOE,2026-04-21,36,33,2x,delayed_streaming_900
CBOE:STXL,STXL,Defiance Daily Target 2x Long STX ETF,27.735,4.818197965994077,CBOE,2026-04-21,36,33,2x,delayed_streaming_900
AMEX:ADBU,ADBU,Direxion Daily ADBE Bull 2X ETF,23.31,0.43084877208099037,AMEX,2026-03-24,36,33,2x,delayed_streaming_900
AMEX:PYPU,PYPU,Direxion Daily PYPL Bull 2X ETF,31.2514,2.0017559835629455,AMEX,2026-03-24,36,33,2x,delayed_streaming_900
AMEX:UNHU,UNHU,Direxion Daily UNH Bull 2X ETF,44.84,1.5382455441150273,AMEX,2026-03-24,36,33,2x,delayed_streaming_900
AMEX:TXNU,TXNU,Direxion Daily TXN Bull 2X ETF,38.44,0.20515467411166402,AMEX,2026-03-24,36,33,2x,delayed_streaming_900
CBOE:AAOX,AAOX,Tradr 2X Long AAOI Daily ETF,9.12,2.242152466367705,CBOE,2026-03-22,36,33,2x,delayed_streaming_900
CBOE:AMZO,AMZO,Tradr 2X Short AMZN Daily ETF,14.47,-4.519960409105898,CBOE,2026-03-22,36,33,2x,delayed_streaming_900
CBOE:IBX,IBX,Tradr 2X Long IBM Daily ETF,18.17,0.7206208425720763,CBOE,2026-03-22,36,33,2x,delayed_streaming_900
CBOE:SNDU,SNDU,T-REX 2X Long SNDK Daily Target ETF,22.689,11.384388807069215,CBOE,2026-03-11,36,33,2x,delayed_streaming_900
CBOE:WLDU,WLDU,Leverage Shares 2x Long World Stock Daily ETF,17.42,2.403724626861301,CBOE,2026-03-09,36,1,2x,delayed_streaming_900
NASDAQ:GLWG,GLWG,Leverage Shares 2X Long GLW Daily ETF,12.485,5.984719864176571,NASDAQ,2026-03-09,36,33,2x,delayed_streaming_900
NASDAQ:FCXG,FCXG,Leverage Shares 2x Long FCX Daily ETF,15.21,4.462850785016695,NASDAQ,2026-02-18,36,33,2x,delayed_streaming_900
CBOE:LEUX,LEUX,Tradr 2X Long LEU Daily ETF,8.331,14.436813186813177,CBOE,2026-02-17,36,33,2x,delayed_streaming_900
CBOE:COHX,COHX,Tradr 2X Long COHR Daily ETF,23.7997,2.939878892733566,CBOE,2026-02-17,36,33,2x,delayed_streaming_900
CBOE:FGRU,FGRU,T-REX 2X Long FIGR Daily Target ETF,10.62,2.4108003857280615,CBOE,2026-02-17,36,33,2x,delayed_streaming_900
CBOE:APHU,APHU,T-REX 2X Long APH Daily Target ETF,22.3514,0.3056100308302682,CBOE,2026-02-17,36,33,2x,delayed_streaming_900
AMEX:COPZ,COPZ,Defiance Daily Target 2X Long Copper Miners ETF,16.24,6.561679790026235,AMEX,2026-02-16,36,33,2x,delayed_streaming_900
NASDAQ:MRVU,MRVU,Direxion Daily MRVL Bull 2X ETF,124.5125,10.41278708876475,NASDAQ,2026-02-10,36,33,2x,delayed_streaming_900
NASDAQ:ASMU,ASMU,Direxion Daily ASML Bull 2X ETF,26.65,3.499566971792968,NASDAQ,2026-02-10,36,33,2x,delayed_streaming_900
NASDAQ:SOFA,SOFA,Direxion Daily SOFI Bull 2X ETF,12.04,-0.3435003931631087,NASDAQ,2026-02-10,36,33,2x,delayed_streaming_900
NASDAQ:BABU,BABU,Direxion Daily BABA Bull 2X ETF,9.0289,2.7868535194271433,NASDAQ,2026-02-10,36,33,2x,delayed_streaming_900
NASDAQ:UECG,UECG,Leverage Shares 2x Long UEC Daily ETF,3.2909,1.0594521557548204,NASDAQ,2026-02-09,36,33,2x,delayed_streaming_900
CBOE:SMZ,SMZ,Tradr 2X Short SMR Daily ETF,14.7926,-19.64910374796306,CBOE,2026-02-09,36,33,2x,delayed_streaming_900
CBOE:BEZ,BEZ,Tradr 2X Short BE Daily ETF,5.42,-7.3504273504273465,CBOE,2026-02-09,36,33,2x,delayed_streaming_900
NASDAQ:CRMU,CRMU,Leverage Shares 2x Long CRML Daily ETF,2.01,11.012923892632266,NASDAQ,2026-02-09,36,33,2x,delayed_streaming_900
CBOE:ASTN,ASTN,Defiance Daily Target 2X Short ASTS ETF,16.73,-14.293032786885243,CBOE,2026-02-04,36,33,2x,delayed_streaming_900
AMEX:MRNX,MRNX,Defiance Daily Target 2X Long MRNA ETF,97.03,16.552552552552555,AMEX,2026-02-02,36,33,2x,delayed_streaming_900
NASDAQ:RCAX,RCAX,Defiance Daily Target 2x Long RCAT ETF,10.56,1.5843698594557138,NASDAQ,2026-02-01,36,33,2x,delayed_streaming_900
CBOE:RDWU,RDWU,T-REX 2X Long RDW Daily Target ETF,7.3399,16.321711568938202,CBOE,2026-01-27,36,33,2x,delayed_streaming_900
CBOE:WDCX,WDCX,Tradr 2X Long WDC Daily ETF,15.22,2.97699594046009,CBOE,2026-01-25,36,33,2x,delayed_streaming_900
CBOE:SNXX,SNXX,Tradr 2X Long SNDK Daily ETF,14.665,11.690784463061679,CBOE,2026-01-25,36,33,2x,delayed_streaming_900
CBOE:LITX,LITX,Tradr 2X Long LITE Daily ETF,29.48,-4.192395190120244,CBOE,2026-01-25,36,33,2x,delayed_streaming_900
CBOE:APLZ,APLZ,Tradr 2X Short APLD Daily ETF,21.06,-16.195781933943497,CBOE,2026-01-21,36,33,2x,delayed_streaming_900
CBOE:NBIZ,NBIZ,Tradr 2X Short NBIS Daily ETF,6.52,-4.678362573099419,CBOE,2026-01-20,36,33,2x,delayed_streaming_900
CBOE:IREZ,IREZ,Tradr 2X Short IREN Daily ETF,9.24,-1.176470588235288,CBOE,2026-01-20,36,33,2x,delayed_streaming_900
CBOE:LNOK,LNOK,Defiance Daily Target 2X Long NOK ETF,17.72,7.982937233394264,CBOE,2026-01-19,36,33,2x,delayed_streaming_900
NASDAQ:XPEG,XPEG,Leverage Shares 2X Long XPEV Daily ETF,3.13,6.462585034013604,NASDAQ,2026-01-14,36,33,2x,delayed_streaming_900
CBOE:EOSU,EOSU,T-REX 2X Long EOSE Daily Target ETF,7.965,2.6417525773195885,CBOE,2026-01-13,36,33,2x,delayed_streaming_900
NASDAQ:PLUL,PLUL,Leverage Shares 2X Long PLUG Daily ETF,7.56,11.675726778539353,NASDAQ,2026-01-12,36,33,2x,delayed_streaming_900
NASDAQ:ALBG,ALBG,Leverage Shares 2X Long ALB Daily ETF,5.19,11.428387401507186,NASDAQ,2026-01-12,36,33,2x,delayed_streaming_900
NASDAQ:ONDG,ONDG,Leverage Shares 2X Long ONDS Daily ETF,2.255,7.8947368421052655,NASDAQ,2026-01-12,36,33,2x,delayed_streaming_900
NASDAQ:USGG,USGG,Leverage Shares 2X Long USAR Daily ETF,5.1899,9.091100180771013,NASDAQ,2026-01-12,36,33,2x,delayed_streaming_900
NASDAQ:HUTG,HUTG,Leverage Shares 2X Long HUT Daily ETF,14.25,2.4442846872753403,NASDAQ,2026-01-12,36,33,2x,delayed_streaming_900
NASDAQ:UUUG,UUUG,Leverage Shares 2X Long UUUU Daily ETF,3.18,5.647840531561474,NASDAQ,2026-01-12,36,33,2x,delayed_streaming_900
CBOE:LUNL,LUNL,Defiance Daily Target 2X Long LUNR ETF,3.86,17.32522796352583,CBOE,2026-01-11,36,33,2x,delayed_streaming_900
CBOE:USAX,USAX,Tradr 2X Long USAR Daily ETF,8.6226,8.59697732997481,CBOE,2026-01-11,36,33,2x,delayed_streaming_900
CBOE:PATX,PATX,Tradr 2X Long PATH Daily ETF,11.05,5.137963843958144,CBOE,2026-01-11,36,33,2x,delayed_streaming_900
CBOE:ONDU,ONDU,Tradr 2X Long ONDS Daily ETF,3.64,8.011869436201781,CBOE,2026-01-11,36,33,2x,delayed_streaming_900
CBOE:CRMX,CRMX,Tradr 2X Long CRML Daily ETF,4.68,10.377358490566026,CBOE,2026-01-11,36,33,2x,delayed_streaming_900
NASDAQ:TSYX,TSYX,TSPY Lift ETF,22.93,1.5968382248688435,NASDAQ,2026-01-06,36,1,Other,delayed_streaming_900
CBOE:PLU,PLU,Defiance Daily Target 2x Long PL ETF,5.13,13.999999999999998,CBOE,2026-01-05,36,33,2x,delayed_streaming_900
CBOE:ONDL,ONDL,Defiance Daily Target 2X Long ONDS ETF,5.615,7.773512476007682,CBOE,2025-12-28,36,33,2x,delayed_streaming_900
CBOE:KEEX,KEEX,Defiance Daily Target 2x Long KEEL ETF,7.43,12.235649546827789,CBOE,2025-12-28,36,33,2x,delayed_streaming_900
NASDAQ:PBRG,PBRG,Leverage Shares 2X Long PBR Daily ETF,46.1584,-7.75920641391494,NASDAQ,2025-12-17,36,33,2x,delayed_streaming_900
NASDAQ:VALG,VALG,Leverage Shares 2X Long VALE Daily ETF,16.08,0.8504553322796617,NASDAQ,2025-12-17,36,33,2x,delayed_streaming_900
NASDAQ:BIDG,BIDG,Leverage Shares 2X Long BIDU Daily ETF,6.525,3.3270518931416277,NASDAQ,2025-12-17,36,33,2x,delayed_streaming_900
NASDAQ:SNAG,SNAG,Leverage Shares 2x Long SNAP Daily ETF,5.895,-1.8154563624250497,NASDAQ,2025-12-17,36,33,2x,delayed_streaming_900
NASDAQ:KLAG,KLAG,Leverage Shares 2x Long KLAC Daily ETF,20.75,2.5354673887799093,NASDAQ,2025-12-17,36,33,2x,delayed_streaming_900
NASDAQ:NIOG,NIOG,Leverage Shares 2X Long NIO Daily ETF,6.2,1.4729950900163642,NASDAQ,2025-12-17,36,33,2x,delayed_streaming_900
NASDAQ:ECHX,ECHX,Leverage Shares 2X Long ECHO Daily ETF,8.83,2.080924855491326,NASDAQ,2025-12-15,36,33,2x,delayed_streaming_900
NASDAQ:IREG,IREG,Leverage Shares 2X Long IREN Daily ETF,8.495,1.4910037991923573,NASDAQ,2025-12-15,36,33,2x,delayed_streaming_900
NASDAQ:BEG,BEG,Leverage Shares 2x Long BE Daily ETF,53.435,6.763236763236774,NASDAQ,2025-12-15,36,33,2x,delayed_streaming_900
NASDAQ:GEVG,GEVG,Leverage Shares 2X Long GEV Daily ETF,20.97,0.6238003838771545,NASDAQ,2025-12-15,36,33,2x,delayed_streaming_900
NASDAQ:CIFG,CIFG,Leverage Shares 2X Long CIFR Daily ETF,4.2752,4.738105737664744,NASDAQ,2025-12-10,36,33,2x,delayed_streaming_900
NASDAQ:OPEG,OPEG,Leverage Shares 2X Long OPEN Daily ETF,1.16,-0.8885850991114308,NASDAQ,2025-12-10,36,33,2x,delayed_streaming_900
NASDAQ:DUOG,DUOG,Leverage Shares 2X Long DUOL Daily ETF,55.11,-3.4103456616154686,NASDAQ,2025-12-10,36,33,2x,delayed_streaming_900
NASDAQ:GRAG,GRAG,Leverage Shares 2X Long GRAB Daily ETF,3.71,-0.9927412467976062,NASDAQ,2025-12-10,36,33,2x,delayed_streaming_900
CBOE:UNHW,UNHW,Roundhill UNH WeeklyPay ETF,44.61,0.562210610316365,CBOE,2025-12-02,36,33,Other,delayed_streaming_900
NASDAQ:GOU,GOU,GraniteShares 2x Long GOOGL Daily ETF,25.64,2.050157413561846,NASDAQ,2025-12-01,36,33,2x,delayed_streaming_900
NASDAQ:QBY,QBY,GraniteShares YieldBoost QBTS ETF,5.79,2.296819787985864,NASDAQ,2025-11-24,36,33,2x,delayed_streaming_900
NASDAQ:RGYY,RGYY,GraniteShares YieldBoost RGTI ETF,5.8999,2.662304894812848,NASDAQ,2025-11-24,36,33,2x,delayed_streaming_900
CBOE:CIFU,CIFU,T-REX 2X Long CIFR Daily Target ETF,10.49,4.170804369414101,CBOE,2025-11-20,36,1,2x,delayed_streaming_900
NASDAQ:CONX,CONX,Direxion Daily COIN Bull 2X ETF,6.05,8.617594254937154,NASDAQ,2025-11-18,36,33,2x,delayed_streaming_900
NASDAQ:KBDU,KBDU,KraneShares 2x Long BIDU Daily ETF,11.23,3.0984622446637626,NASDAQ,2025-11-18,36,33,2x,delayed_streaming_900
NASDAQ:HODU,HODU,Direxion Daily HOOD Bull 2X ETF,12.33,5.384615384615392,NASDAQ,2025-11-18,36,33,2x,delayed_streaming_900
NASDAQ:LINT,LINT,Direxion Daily INTC Bull 2X ETF,137.51,17.41952010929894,NASDAQ,2025-11-18,36,33,2x,delayed_streaming_900
NASDAQ:ORCU,ORCU,Direxion Daily ORCL Bull 2X ETF,7.855,8.195592286501387,NASDAQ,2025-11-18,36,33,2x,delayed_streaming_900
NASDAQ:ORCS,ORCS,Direxion Daily ORCL Bear 1X ETF,28.48,-4.302361527398825,NASDAQ,2025-11-18,36,33,,delayed_streaming_900
NASDAQ:TERG,TERG,Leverage Shares 2X Long TER Daily ETF,34.95,9.339707050925092,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
NASDAQ:RKLZ,RKLZ,Defiance Daily Target 2x Short RKLB ETF,17.32,-13.615960099750627,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
NASDAQ:OKTG,OKTG,Leverage Shares 2X Long OKTA Daily ETF,49.271,4.424437408071487,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
NASDAQ:NETG,NETG,Leverage Shares 2X Long NET Daily ETF,22.41,5.447906569672796,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
NASDAQ:NEMG,NEMG,Leverage Shares 2x Long NEM Daily ETF,22.73,4.746543778801849,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
NASDAQ:NUG,NUG,Leverage Shares 2X Long NU Daily ETF,9.1799,2.7075711296836964,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
NASDAQ:SPOG,SPOG,Leverage Shares 2X Long SPOT Daily ETF,7.95,-4.830310648231283,NASDAQ,2025-11-16,36,33,2x,delayed_streaming_900
AMEX:STSM,STSM,Defiance Daily Target 2X Short TSM ETF,33.46,-5.53653048606622,AMEX,2025-11-16,36,33,2x,delayed_streaming_900
AMEX:DAMD,DAMD,Defiance Daily Target 2X Short AMD ETF,11.6467,-12.9544095665172,AMEX,2025-11-12,36,33,2x,delayed_streaming_900
AMEX:BMNZ,BMNZ,Defiance Daily Target 2X Short BMNR ETF,5.5762,-10.061290322580648,AMEX,2025-11-11,36,33,2x,delayed_streaming_900
CBOE:CSEX,CSEX,Tradr 2X Long CLS Daily ETF,13.1501,5.71244824952771,CBOE,2025-11-11,36,33,2x,delayed_streaming_900
CBOE:BEX,BEX,Tradr 2X Long BE Daily ETF,38.46,7.445173906970244,CBOE,2025-11-11,36,33,2x,delayed_streaming_900
NASDAQ:GEMG,GEMG,Leverage Shares 2X Long GEMI Daily ETF,7.71,15.071191904719267,NASDAQ,2025-11-04,36,33,2x,delayed_streaming_900
NASDAQ:LULG,LULG,Leverage Shares 2X Long LULU Daily ETF,4.125,7.324053596981914,NASDAQ,2025-11-04,36,33,2x,delayed_streaming_900
CBOE:COZX,COZX,Tradr 2X Long CORZ Daily ETF,8.26,5.897435897435897,CBOE,2025-11-03,36,33,2x,delayed_streaming_900
CBOE:GDXW,GDXW,Roundhill Gold Miners WeeklyPay ETF,42.95,4.323536555744477,CBOE,2025-10-29,36,33,Other,delayed_streaming_900
NASDAQ:BLSG,BLSG,Leverage Shares 2X Long BLSH Daily ETF,3.21,17.94532627865961,NASDAQ,2025-10-26,36,33,2x,delayed_streaming_900
NASDAQ:BMNG,BMNG,Leverage Shares 2X Long BMNR Daily ETF,23.945,10.067663228345012,NASDAQ,2025-10-26,36,33,2x,delayed_streaming_900
NASDAQ:NBIG,NBIG,Leverage Shares 2X Long NBIS Daily ETF,15.27,4.517453798767968,NASDAQ,2025-10-26,36,33,2x,delayed_streaming_900
NASDAQ:MPG,MPG,Leverage Shares 2X Long MP Daily ETF,4.16,3.681180370361149,NASDAQ,2025-10-26,36,33,2x,delayed_streaming_900
NASDAQ:AVXX,AVXX,Defiance Daily Target 2x Long AVAV ETF,28.91,10.814685341490154,NASDAQ,2025-10-22,36,33,2x,delayed_streaming_900
CBOE:COSW,COSW,Roundhill COST WeeklyPay ETF,35.945,-0.37168332912959734,CBOE,2025-10-22,36,33,Other,delayed_streaming_900
CBOE:UBEW,UBEW,Roundhill UBER WeeklyPay ETF,24.53,-0.2837421442450638,CBOE,2025-10-22,36,33,Other,delayed_streaming_900
CBOE:ARMW,ARMW,Roundhill ARM WeeklyPay ETF,41.28,8.346456692913385,CBOE,2025-10-22,36,33,Other,delayed_streaming_900
CBOE:BABW,BABW,Roundhill BABA WeeklyPay ETF,19.694,1.4788478384088166,CBOE,2025-10-22,36,33,Other,delayed_streaming_900
CBOE:WULX,WULX,Tradr 2X Long WULF Daily ETF,15.85,13.701578192252512,CBOE,2025-10-21,36,33,2x,delayed_streaming_900
CBOE:OPEX,OPEX,Tradr 2X Long OPEN Daily ETF,4.54,-1.304347826086948,CBOE,2025-10-21,36,33,2x,delayed_streaming_900
CBOE:IREX,IREX,Tradr 2X Long IREN Daily ETF,14.98,1.4905149051490558,CBOE,2025-10-21,36,33,2x,delayed_streaming_900
CBOE:FLYT,FLYT,Tradr 2X Long FLY Daily ETF,5.16,18.757192174913705,CBOE,2025-10-21,36,33,2x,delayed_streaming_900
AMEX:IRE,IRE,Defiance Daily Target 2X Long IREN ETF,10.3,1.2782694198623479,AMEX,2025-10-20,36,33,2x,delayed_streaming_900
CBOE:SBTU,SBTU,T-REX 2X Long SBET Daily Target ETF,40.71,13.451736332702588,CBOE,2025-10-20,36,33,2x,delayed_streaming_900
AMEX:QSU,QSU,Defiance Daily Target 2X Long QS ETF,5.335,12.552742616033749,AMEX,2025-10-19,36,33,2x,delayed_streaming_900
NASDAQ:KJD,KJD,KraneShares 2x Long JD Daily ETF,14.71,-0.8873646549923432,NASDAQ,2025-10-14,36,33,2x,delayed_streaming_900
NASDAQ:FUTG,FUTG,Leverage Shares 2x Long FUTU Daily ETF,4.1399,3.2394014962593554,NASDAQ,2025-10-13,36,33,2x,delayed_streaming_900
NASDAQ:FIGG,FIGG,Leverage Shares 2x Long FIG Daily ETF,19.37,3.4722222222222334,NASDAQ,2025-10-13,36,33,2x,delayed_streaming_900
NASDAQ:RGTZ,RGTZ,Defiance Daily Target 2x Short RGTI ETF,15.29,-16.902173913043477,NASDAQ,2025-10-07,36,33,2x,delayed_streaming_900
NASDAQ:ISUL,ISUL,GraniteShares 2x Long ISRG Daily ETF,14.89,2.6231270762402383,NASDAQ,2025-10-06,36,33,2x,delayed_streaming_900
NASDAQ:NBIL,NBIL,GraniteShares 2x Long NBIS Daily ETF,22.1455,4.558545797922562,NASDAQ,2025-10-06,36,33,2x,delayed_streaming_900
NASDAQ:QBTZ,QBTZ,Defiance Daily Target 2x Short QBTS ETF,15.03,-19.15008068854223,NASDAQ,2025-10-05,36,33,2x,delayed_streaming_900
CBOE:BMNU,BMNU,T-REX 2X Long BMNR Daily Target ETF,17.5,9.511889862327907,CBOE,2025-09-25,36,33,2x,delayed_streaming_900
CBOE:CRCD,CRCD,T-REX 2X Inverse CRCL Daily Target ETF,2.22,-10.843373493975903,CBOE,2025-09-25,36,33,2x,delayed_streaming_900
CBOE:CORD,CORD,T-REX 2X Inverse CRWV Daily Target ETF,3.565,9.021406727828744,CBOE,2025-09-25,36,33,2x,delayed_streaming_900
NASDAQ:OSCX,OSCX,Defiance Daily Target 2x Long OSCR ETF,39.03,2.690528686518952,NASDAQ,2025-09-23,36,33,2x,delayed_streaming_900
NASDAQ:COTG,COTG,Leverage Shares 2X Long COST Daily ETF,11.2,-0.41346196594496054,NASDAQ,2025-09-17,36,33,2x,delayed_streaming_900
CBOE:TTDU,TTDU,T-REX 2X Long TTD Daily Target ETF,13.97,-3.321799307958468,CBOE,2025-09-15,36,33,2x,delayed_streaming_900
CBOE:AFRU,AFRU,T-REX 2X Long AFRM Daily Target ETF,8.94,-2.826086956521737,CBOE,2025-09-15,36,33,2x,delayed_streaming_900
CBOE:KTUP,KTUP,T-REX 2X Long KTOS Daily Target ETF,5.29,2.1235521235521295,CBOE,2025-09-15,36,33,2x,delayed_streaming_900
CBOE:UNX,UNX,Tradr 2X Long U Daily ETF,94.029,0.06832345729464606,CBOE,2025-09-14,36,33,2x,delayed_streaming_900
CBOE:CLSX,CLSX,Tradr 2X Long CLSK Daily ETF,13.655,9.678714859437752,CBOE,2025-09-14,36,33,2x,delayed_streaming_900
CBOE:CRDU,CRDU,Tradr 2X Long CRDO Daily ETF,6.7234,5.217527386541473,CBOE,2025-09-14,36,33,2x,delayed_streaming_900
CBOE:JOBX,JOBX,Tradr 2X Long JOBY Daily ETF,7.75,3.887399463806971,CBOE,2025-09-07,36,33,2x,delayed_streaming_900
AMEX:PLTA,PLTA,ProShares Ultra PLTR,19.01,1.1708355508249197,AMEX,2025-09-07,36,33,2x,delayed_streaming_900
CBOE:NEBX,NEBX,Tradr 2X Long NBIS Daily ETF,22.7,4.7531149053991575,CBOE,2025-09-07,36,33,2x,delayed_streaming_900
AMEX:NVDB,NVDB,ProShares Ultra NVDA,31.68,4.623513870541607,AMEX,2025-09-07,36,33,2x,delayed_streaming_900
AMEX:COIA,COIA,ProShares Ultra COIN,7.605,9.26724137931035,AMEX,2025-09-07,36,33,2x,delayed_streaming_900
CBOE:PONX,PONX,Tradr 2X Long PONY Daily ETF,14.16,9.596674948336318,CBOE,2025-09-07,36,33,2x,delayed_streaming_900
AMEX:TSLI,TSLI,ProShares Ultra TSLA,18.31,5.75745673821131,AMEX,2025-09-07,36,33,2x,delayed_streaming_900
CBOE:NVTX,NVTX,Tradr 2X Long NVTS Daily ETF,14.91,13.990825688073393,CBOE,2025-09-07,36,33,2x,delayed_streaming_900
CBOE:APLX,APLX,Tradr 2X Long APLD Daily ETF,8.16,15.580736543909357,CBOE,2025-09-07,36,33,2x,delayed_streaming_900
NASDAQ:ANEL,ANEL,Defiance Daily Target 2x Long ANET ETF,26.5,1.7571345190919396,NASDAQ,2025-09-02,36,33,2x,delayed_streaming_900
NASDAQ:GLGG,GLGG,Leverage Shares 2X Long GLXY Daily ETF,4.17,3.1004302032339406,NASDAQ,2025-08-20,36,33,2x,delayed_streaming_900
NASDAQ:BAIG,BAIG,Leverage Shares 2X Long BBAI Daily ETF,13.655,8.585015188383663,NASDAQ,2025-08-20,36,33,2x,delayed_streaming_900
CBOE:LRCU,LRCU,Tradr 2X Long LRCX Daily ETF,37.4,0.863814971534279,CBOE,2025-08-17,36,33,2x,delayed_streaming_900
CBOE:LABX,LABX,Tradr 2X Long ALAB Daily ETF,10.2723,15.940180586907452,CBOE,2025-08-10,36,33,2x,delayed_streaming_900
NASDAQ:CRCG,CRCG,Leverage Shares 2X Long CRCL Daily ETF,12.79,10.258620689655167,NASDAQ,2025-08-10,36,33,2x,delayed_streaming_900
NASDAQ:BULG,BULG,Leverage Shares 2X Long BULL Daily ETF,39.209,0.20778118826306155,NASDAQ,2025-08-10,36,33,2x,delayed_streaming_900
CBOE:CCUP,CCUP,T-REX 2X Long CRCL Daily Target ETF,22.495,10.377821393523073,CBOE,2025-08-10,36,33,2x,delayed_streaming_900
NASDAQ:CRWG,CRWG,Leverage Shares 2X Long CRWV Daily ETF,15.405,-9.222156747200941,NASDAQ,2025-08-10,36,33,2x,delayed_streaming_900
CBOE:GLXU,GLXU,T-REX 2X Long GLXY Daily Target ETF,4.841,1.7016806722689162,CBOE,2025-08-07,36,33,2x,delayed_streaming_900
AMEX:CRCA,CRCA,ProShares Ultra CRCL,18.92,10.514018691588788,AMEX,2025-08-05,36,33,2x,delayed_streaming_900
NASDAQ:LMTL,LMTL,Direxion Daily LMT Bull 2X ETF,32.16,-2.1588336943558843,NASDAQ,2025-08-05,36,33,2x,delayed_streaming_900
NASDAQ:SHPU,SHPU,Direxion Daily SHOP Bull 2X ETF,12.7,-2.387284214409796,NASDAQ,2025-08-05,36,33,2x,delayed_streaming_900
CBOE:CRWU,CRWU,T-REX 2X Long CRWV Daily Target ETF,29.79,-9.010384850335988,CBOE,2025-07-24,36,33,2x,delayed_streaming_900
CBOE:SMUP,SMUP,T-REX 2X Long SMR Daily Target ETF,4.36,19.780219780219785,CBOE,2025-07-24,36,33,2x,delayed_streaming_900
CBOE:MSTW,MSTW,Roundhill MSTR WeeklyPay ETF,4.22,5.236907730673316,CBOE,2025-07-23,36,33,Other,delayed_streaming_900
CBOE:MSFW,MSFW,Roundhill MSFT WeeklyPay ETF,31.738,1.1911594036550985,CBOE,2025-07-23,36,33,Other,delayed_streaming_900
CBOE:GOOW,GOOW,Roundhill GOOGL WeeklyPay ETF,60.52,1.3735343383584593,CBOE,2025-07-23,36,33,Other,delayed_streaming_900
CBOE:AVGW,AVGW,Roundhill AVGO WeeklyPay ETF,32.2,3.1720602371034987,CBOE,2025-07-23,36,33,Other,delayed_streaming_900
CBOE:AMDW,AMDW,Roundhill AMD WeeklyPay ETF,91.4,7.580037664783442,CBOE,2025-07-23,36,33,Other,delayed_streaming_900
NASDAQ:UNHG,UNHG,Leverage Shares 2X Long UNH Daily ETF,18.22,1.3128409299428958,NASDAQ,2025-07-21,36,33,2x,delayed_streaming_900
NASDAQ:VSTL,VSTL,Defiance Daily Target 2X Long VST ETF,21.53,3.5594035594035693,NASDAQ,2025-07-20,36,33,2x,delayed_streaming_900
NASDAQ:NOWL,NOWL,GraniteShares 2x Long NOW Daily ETF,7.655,-1.3530927835051487,NASDAQ,2025-07-14,36,33,2x,delayed_streaming_900
NASDAQ:PDDL,PDDL,GraniteShares 2x Long PDD Daily ETF,10.929,-1.5547308496072565,NASDAQ,2025-07-14,36,33,2x,delayed_streaming_900
NASDAQ:AVGU,AVGU,GraniteShares 2x Long AVGO Daily ETF,27.77,5.60099782865791,NASDAQ,2025-07-14,36,33,2x,delayed_streaming_900
CBOE:SMU,SMU,Tradr 2X Long SMR Daily ETF,5.455,19.365426695842444,CBOE,2025-07-10,36,33,2x,delayed_streaming_900
NASDAQ:AALG,AALG,Leverage Shares 2X Long AAL Daily ETF,9.8999,4.5462225695397835,NASDAQ,2025-07-10,36,33,2x,delayed_streaming_900
