Symbol,Name,Description,Price,Change %,Exchange,Launch Date,Selection Criteria,Strategy,Update Mode
CBOE:TETH,TETH,21Shares Ethereum ETF,9.49,-0.9394572025052178,CBOE,2024-07-21,36,33,delayed_streaming_900
CBOE:ETHV,ETHV,VanEck Ethereum ETF,27.74,-1.2108262108262104,CBOE,2024-06-24,36,33,delayed_streaming_900
NASDAQ:ETHA,ETHA,iShares Ethereum Trust ETF,14.325,-1.1387163561076667,NASDAQ,2024-06-23,36,33,delayed_streaming_900
AMEX:YBIT,YBIT,YieldMax Bitcoin Option Income Strategy ETF,18.67,0.10723860589814009,AMEX,2024-04-21,36,4,delayed_streaming_900
AMEX:BTRN,BTRN,Global X Bitcoin Trend Strategy ETF,24.605,-0.886602672295373,AMEX,2024-03-20,36,30,delayed_streaming_900
CBOE:YBTC,YBTC,Roundhill Bitcoin Covered Call Strategy ETF,17.61,-0.5646527385657901,CBOE,2024-01-17,32,1,delayed_streaming_900
CBOE:BTCW,BTCW,WisdomTree Bitcoin Fund,67.62,0.34129692832765096,CBOE,2024-01-10,36,33,delayed_streaming_900
CBOE:EZBC,EZBC,Franklin Templeton Digital Holdings Trust Shares of Franklin Bitcoin ETF,36.92,0.08132285172133678,CBOE,2024-01-10,36,33,delayed_streaming_900
AMEX:BITB,BITB,Bitwise Bitcoin ETF,34.67,0.11550678602367642,AMEX,2024-01-10,36,33,delayed_streaming_900
CBOE:HODL,HODL,VanEck Bitcoin Trust,18.07,0.13854253255748727,CBOE,2024-01-10,36,33,delayed_streaming_900
CBOE:BTCO,BTCO,Invesco Galaxy Bitcoin ETF,63.565,0.13390044108380728,CBOE,2024-01-10,36,33,delayed_streaming_900
AMEX:GBTC,GBTC,Grayscale Bitcoin Trust (BTC),49.5,0.12135922330097548,AMEX,2024-01-10,36,33,delayed_streaming_900
CBOE:ARKB,ARKB,ARK 21Shares Bitcoin ETF,21.18,0.04723665564477095,CBOE,2024-01-09,36,33,delayed_streaming_900
CBOE:FBTC,FBTC,Fidelity Wise Origin Bitcoin Fund,55.585,0.08102268635218168,CBOE,2024-01-09,36,33,delayed_streaming_900
NASDAQ:BRRR,BRRR,Coinshares Bitcoin ETF,17.96,-0.1667593107281689,NASDAQ,2024-01-09,36,33,delayed_streaming_900
NASDAQ:IBIT,IBIT,iShares Bitcoin Trust,36.195,0.15218594355284923,NASDAQ,2024-01-04,36,33,delayed_streaming_900
AMEX:SETH,SETH,ProShares Short Ether ETF,46.25,1.6930518909410799,AMEX,2023-11-01,36,33,delayed_streaming_900
AMEX:EETH,EETH,ProShares Ether ETF,23.1,-1.1976047904191514,AMEX,2023-10-01,36,33,delayed_streaming_900
AMEX:BETE,BETE,ProShares Bitcoin & Ether Equal Weight ETF,30.49,-0.8126272779914003,AMEX,2023-10-01,16,15,delayed_streaming_900
AMEX:BETH,BETH,ProShares Bitcoin & Ether Market Cap Weight ETF,35.4926,-1.6909905243593895,AMEX,2023-10-01,16,33,delayed_streaming_900
AMEX:AETH,AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,31.2803,-1.4365298933079567,AMEX,2023-09-28,36,33,delayed_streaming_900
AMEX:BITC,BITC,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF,36.39,0.11968139985968841,AMEX,2023-03-20,36,33,delayed_streaming_900
NASDAQ:MAXI,MAXI,Simplify Bitcoin Strategy ETF,8.99,0.11135857461024262,NASDAQ,2022-09-28,32,1,delayed_streaming_900
AMEX:DEFI,DEFI,Hashdex Bitcoin ETF,72.2163,-1.7418516527997845,AMEX,2022-09-14,36,33,delayed_streaming_900
AMEX:BITI,BITI,ProShares Short Bitcoin ETF,25.26,-0.1581027667984156,AMEX,2022-06-20,36,33,delayed_streaming_900
NASDAQ:BTF,BTF,CoinShares Bitcoin and Ether ETF,17.42,-0.6841505131128702,NASDAQ,2021-10-21,32,1,delayed_streaming_900
AMEX:BITO,BITO,ProShares Bitcoin ETF,8.6588,0.21759259259257888,AMEX,2021-10-18,36,33,delayed_streaming_900
OTC:XETRF,XETRF,PURPOSE INVESTMENTS INC. ETHER ETF ETF NON CURRENCY HEDGE UNIT,6.0,0.0,OTC,2021-04-19,36,33,delayed_streaming_900
OTC:ETHXF,ETHXF,CI INVESTMENTS INC GALAXY ETHEREUM ETF,8.43,7.800511508951399,OTC,2021-04-19,36,33,delayed_streaming_900
OTC:CGBCF,CGBCF,CI INVESTMENTS INC GALAXY BITCOIN ETF,12.09,4.449244060475167,OTC,2021-03-08,36,33,delayed_streaming_900
OTC:PBECF,PBECF,PURPOSE INVESTMENTS INC. BITCOIN ETF CAD ETF NON CURRENCY HEDGED,8.8514,4.074121976742828,OTC,2021-02-16,36,33,delayed_streaming_900
OTC:PRBEF,PRBEF,PURPOSE INVESTMENTS INC. BITCOIN ETF USD ETF NON CURRENCY HEDGED,11.38,1.6071428571428705,OTC,2021-02-16,36,33,delayed_streaming_900
OTC:TSHRF,TSHRF,21SHARES AG,0.377,-37.166666666666664,OTC,2021-02-02,36,33,delayed_streaming_900
OTC:TOSRF,TOSRF,21SHARES AG,31.2043,0.6447471971720128,OTC,2019-04-01,36,33,delayed_streaming_900
OTC:TWTBF,TWTBF,21SHARES AG UNDERLYING TRACKER ON BITCOIN ETP 2019,21.24,-19.73790116878848,OTC,2019-02-24,36,33,delayed_streaming_900
AMEX:USDU,USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,26.795,0.056011949215834834,AMEX,2013-12-17,16,25,delayed_streaming_900
AMEX:CEW,CEW,WisdomTree Emerging Currency Strategy Fund,19.5,-0.6116207951070387,AMEX,2009-05-05,16,15,delayed_streaming_900
AMEX:UUP,UUP,Invesco DB USD Index Bullish Fund ETF,28.55,-0.10496850944715741,AMEX,2007-02-19,16,25,delayed_streaming_900
AMEX:UDN,UDN,Invesco DB USD Index Bearish ETF,17.855,0.14021312394841354,AMEX,2007-02-19,16,25,delayed_streaming_900
AMEX:FXY,FXY,Invesco CurrencyShares Japanese Yen Trust,56.01,0.017857142857139303,AMEX,2007-02-11,36,33,delayed_streaming_900
AMEX:FXB,FXB,Invesco CurrencyShares British Pound Sterling Trust,127.914,0.061485316273891616,AMEX,2006-06-20,36,33,delayed_streaming_900
AMEX:FXF,FXF,Invesco CurrencyShares Swiss Franc Trust,107.44,-0.10450719835169466,AMEX,2006-06-20,36,33,delayed_streaming_900
AMEX:FXC,FXC,Invesco CurrencyShares Canadian Dollar Trust,69.335,0.1288164769559902,AMEX,2006-06-20,36,33,delayed_streaming_900
AMEX:FXA,FXA,Invesco CurrencyShares Australian Dollar Trust,68.581,-0.7510853835021581,AMEX,2006-06-20,36,33,delayed_streaming_900
AMEX:FXE,FXE,Invesco CurrencyShares Euro Currency Trust,105.2,0.0856245837693877,AMEX,2005-12-08,36,33,delayed_streaming_900
